snapshot_month,state,dealer_count
2021-07-01,Alabama,3
2021-07-01,Alaska,1
2021-07-01,Arizona,5
2021-07-01,Arkansas,4
2021-07-01,California,36
2021-07-01,Colorado,6
2021-07-01,Columbia,1
2021-07-01,Connecticut,8
2021-07-01,Delaware,2
2021-07-01,Florida,29
2021-07-01,Georgia,6
2021-07-01,Hawaii,5
2021-07-01,Idaho,1
2021-07-01,Illinois,14
2021-07-01,Indiana,4
2021-07-01,Iowa,2
2021-07-01,Kansas,2
2021-07-01,Kentucky,2
2021-07-01,Louisiana,11
2021-07-01,Maine,1
2021-07-01,Maryland,3
2021-07-01,Massachusetts,9
2021-07-01,Michigan,11
2021-07-01,Minnesota,6
2021-07-01,Mississippi,2
2021-07-01,Missouri,6
2021-07-01,Montana,2
2021-07-01,Nebraska,1
2021-07-01,Nevada,7
2021-07-01,New Hampshire,2
2021-07-01,New Jersey,9
2021-07-01,New Mexico,1
2021-07-01,New York,25
2021-07-01,North Carolina,9
2021-07-01,North Dakota,1
2021-07-01,Ohio,8
2021-07-01,Oklahoma,6
2021-07-01,Oregon,5
2021-07-01,Pennsylvania,17
2021-07-01,Rhode Island,1
2021-07-01,South Carolina,6
2021-07-01,Tennessee,5
2021-07-01,Texas,29
2021-07-01,Utah,2
2021-07-01,Vermont,1
2021-07-01,Virginia,9
2021-07-01,Washington,5
2021-07-01,Wisconsin,4
2021-08-01,Alabama,3
2021-08-01,Alaska,1
2021-08-01,Arizona,5
2021-08-01,Arkansas,4
2021-08-01,California,36
2021-08-01,Colorado,6
2021-08-01,Columbia,1
2021-08-01,Connecticut,8
2021-08-01,Delaware,2
2021-08-01,Florida,29
2021-08-01,Georgia,6
2021-08-01,Hawaii,5
2021-08-01,Idaho,1
2021-08-01,Illinois,14
2021-08-01,Indiana,4
2021-08-01,Iowa,2
2021-08-01,Kansas,2
2021-08-01,Kentucky,2
2021-08-01,Louisiana,11
2021-08-01,Maine,1
2021-08-01,Maryland,3
2021-08-01,Massachusetts,9
2021-08-01,Michigan,11
2021-08-01,Minnesota,6
2021-08-01,Mississippi,2
2021-08-01,Missouri,6
2021-08-01,Montana,2
2021-08-01,Nebraska,1
2021-08-01,Nevada,7
2021-08-01,New Hampshire,2
2021-08-01,New Jersey,9
2021-08-01,New Mexico,1
2021-08-01,New York,26
2021-08-01,North Carolina,9
2021-08-01,North Dakota,1
2021-08-01,Ohio,8
2021-08-01,Oklahoma,6
2021-08-01,Oregon,5
2021-08-01,Pennsylvania,17
2021-08-01,Rhode Island,1
2021-08-01,South Carolina,6
2021-08-01,Tennessee,5
2021-08-01,Texas,29
2021-08-01,Utah,2
2021-08-01,Vermont,1
2021-08-01,Virginia,9
2021-08-01,Washington,5
2021-08-01,Wisconsin,4
2021-09-01,Alabama,3
2021-09-01,Alaska,1
2021-09-01,Arizona,5
2021-09-01,Arkansas,4
2021-09-01,California,36
2021-09-01,Colorado,6
2021-09-01,Columbia,1
2021-09-01,Connecticut,8
2021-09-01,Delaware,2
2021-09-01,Florida,29
2021-09-01,Georgia,6
2021-09-01,Hawaii,5
2021-09-01,Idaho,1
