snapshot_date,snapshot_month,reference,family,msrp_usd,median_price_usd,listing_count,markup_pct
2021-07-23,2021-07-01,124270,Explorer,7250,11343.5,86.0,75.86821705
2021-07-23,2021-07-01,124300,Oyster Perpetual,6400,12664.0,411.0,114.6440678
2021-07-23,2021-07-01,126610LN,Submariner Date,10250,16271.0,219.0,77.82513661
2021-07-23,2021-07-01,126710BLRO,GMT-Master II,10900,23687.0,231.0,149.3368421
2021-07-30,2021-07-01,124270,Explorer,7250,11426.0,93.0,77.14728682
2021-07-30,2021-07-01,124300,Oyster Perpetual,6400,12849.0,411.0,117.779661
2021-07-30,2021-07-01,126610LN,Submariner Date,10250,16417.0,222.0,79.42076503
2021-07-30,2021-07-01,126710BLRO,GMT-Master II,10900,23994.5,232.0,152.5736842
2021-08-06,2021-08-01,124270,Explorer,7250,11350.0,101.0,75.96899225
2021-08-06,2021-08-01,124300,Oyster Perpetual,6400,13106.0,425.0,122.1355932
2021-08-06,2021-08-01,126610LN,Submariner Date,10250,16397.0,205.0,79.20218579
2021-08-06,2021-08-01,126710BLRO,GMT-Master II,10900,24000.0,238.0,152.6315789
2021-08-13,2021-08-01,124270,Explorer,7250,11164.0,103.0,73.08527132
2021-08-13,2021-08-01,124300,Oyster Perpetual,6400,13115.0,414.0,122.2881356
2021-08-13,2021-08-01,126610LN,Submariner Date,10250,16244.0,199.0,77.53005464
2021-08-13,2021-08-01,126710BLRO,GMT-Master II,10900,23999.0,230.0,152.6210526
2021-08-20,2021-08-01,124270,Explorer,7250,10969.0,105.0,70.0620155
2021-08-20,2021-08-01,124300,Oyster Perpetual,6400,13135.0,415.0,122.6271186
2021-08-20,2021-08-01,126610LN,Submariner Date,10250,16184.0,190.0,76.87431694
2021-08-20,2021-08-01,126710BLRO,GMT-Master II,10900,23965.0,228.0,152.2631579
2021-08-27,2021-08-01,124270,Explorer,7250,10966.0,110.0,70.01550388
2021-08-27,2021-08-01,124300,Oyster Perpetual,6400,13203.5,414.0,123.7881356
2021-08-27,2021-08-01,126610LN,Submariner Date,10250,16283.0,183.0,77.95628415
2021-08-27,2021-08-01,126710BLRO,GMT-Master II,10900,24110.0,230.0,153.7894737
2021-09-03,2021-09-01,124270,Explorer,7250,10982.0,116.0,70.26356589
2021-09-03,2021-09-01,124300,Oyster Perpetual,6400,13235.0,413.0,124.3220339
2021-09-03,2021-09-01,126610LN,Submariner Date,10250,16506.0,174.0,80.39344262
2021-09-03,2021-09-01,126710BLRO,GMT-Master II,10900,24224.0,235.0,154.9894737
2021-09-10,2021-09-01,124270,Explorer,7250,11017.0,120.0,70.80620155
2021-09-10,2021-09-01,124300,Oyster Perpetual,6400,13565.5,418.0,129.9237288
2021-09-10,2021-09-01,126610LN,Submariner Date,10250,16584.0,192.0,81.24590164
2021-09-10,2021-09-01,126710BLRO,GMT-Master II,10900,24250.0,246.0,155.2631579
2021-09-24,2021-09-01,124270,Explorer,7250,10987.0,132.0,70.34108527
2021-09-24,2021-09-01,124300,Oyster Perpetual,6400,13845.0,455.0,134.6610169
2021-09-24,2021-09-01,126610LN,Submariner Date,10250,16457.0,177.0,79.8579235
2021-09-24,2021-09-01,126710BLRO,GMT-Master II,10900,24528.0,236.0,158.1894737
2021-10-01,2021-10-01,124270,Explorer,7250,10879.0,131.0,68.66666667
2021-10-01,2021-10-01,124300,Oyster Perpetual,6400,13674.0,455.0,131.7627119
2021-10-01,2021-10-01,126610LN,Submariner Date,10250,16408.0,187.0,79.32240437
2021-10-01,2021-10-01,126710BLRO,GMT-Master II,10900,24374.0,241.0,156.5684211
2021-10-08,2021-10-01,124270,Explorer,7250,10785.5,136.0,67.21705426
2021-10-08,2021-10-01,124300,Oyster Perpetual,6400,13629.0,453.0,131.0
2021-10-08,2021-10-01,126610LN,Submariner Date,10250,16473.0,185.0,80.03278689
2021-10-08,2021-10-01,126710BLRO,GMT-Master II,10900,24295.0,234.0,155.7368421
2021-10-22,2021-10-01,124270,Explorer,7250,10821.0,136.0,67.76744186
2021-10-22,2021-10-01,124300,Oyster Perpetual,6400,13900.0,479.0,135.5932203
2021-10-22,2021-10-01,126610LN,Submariner Date,10250,16699.5,174.0,82.50819672
2021-10-22,2021-10-01,126710BLRO,GMT-Master II,10900,24782.0,243.0,160.8631579
2021-10-29,2021-10-01,124270,Explorer,7250,10917.0,139.0,69.25581395
2021-10-29,2021-10-01,124300,Oyster Perpetual,6400,14022.0,469.0,137.6610169
2021-10-29,2021-10-01,126610LN,Submariner Date,10250,16749.0,182.0,83.04918033
2021-10-29,2021-10-01,126710BLRO,GMT-Master II,10900,24950.0,236.0,162.6315789
2021-11-05,2021-11-01,124270,Explorer,7250,10952.5,156.0,69.80620155
2021-11-05,2021-11-01,124300,Oyster Perpetual,6400,13862.0,493.0,134.9491525
2021-11-05,2021-11-01,126610LN,Submariner Date,10250,16842.0,183.0,84.06557377
2021-11-05,2021-11-01,126710BLRO,GMT-Master II,10900,24999.5,238.0,163.1526316
2021-11-12,2021-11-01,124270,Explorer,7250,10885.0,159.0,68.75968992
2021-11-12,2021-11-01,124300,Oyster Perpetual,6400,13911.5,498.0,135.7881356
2021-11-12,2021-11-01,126610LN,Submariner Date,10250,16822.0,181.0,83.84699454
2021-11-12,2021-11-01,126710BLRO,GMT-Master II,10900,25020.0,245.0,163.3684211
2021-11-12,2021-11-01,124060,Submariner,9100,15036.5,162.0,85.63580247
2021-11-12,2021-11-01,126610LV,Submariner Date,10800,21500.0,187.0,125.1308901
2021-11-12,2021-11-01,126710BLNR,GMT-Master II,10900,21285.0,275.0,124.0526316
2021-11-12,2021-11-01,226570,Explorer II,9650,14096.0,175.0,64.86549708
2021-11-19,2021-11-01,124270,Explorer,7250,10878.5,146.0,68.65891473
2021-11-19,2021-11-01,124300,Oyster Perpetual,6400,13901.5,498.0,135.6186441
2021-11-19,2021-11-01,126610LN,Submariner Date,10250,16861.5,204.0,84.27868852
2021-11-19,2021-11-01,126710BLRO,GMT-Master II,10900,24950.0,227.0,162.6315789
2021-11-19,2021-11-01,124060,Submariner,9100,14903.0,170.0,83.98765432
2021-11-19,2021-11-01,126610LV,Submariner Date,10800,21494.0,190.0,125.0680628
2021-11-19,2021-11-01,126710BLNR,GMT-Master II,10900,21372.0,274.0,124.9684211
2021-11-19,2021-11-01,226570,Explorer II,9650,14010.0,165.0,63.85964912
2021-11-26,2021-11-01,124270,Explorer,7250,10788.0,162.0,67.25581395
2021-11-26,2021-11-01,124300,Oyster Perpetual,6400,13689.0,507.0,132.0169492
2021-11-26,2021-11-01,126610LN,Submariner Date,10250,16864.5,198.0,84.31147541
2021-11-26,2021-11-01,126710BLRO,GMT-Master II,10900,24995.0,211.0,163.1052632
2021-11-26,2021-11-01,124060,Submariner,9100,14943.0,157.0,84.48148148
2021-11-26,2021-11-01,126610LV,Submariner Date,10800,21500.0,192.0,125.1308901
2021-11-26,2021-11-01,126710BLNR,GMT-Master II,10900,21282.0,283.0,124.0210526
2021-11-26,2021-11-01,226570,Explorer II,9650,14001.0,172.0,63.75438596
2021-12-03,2021-12-01,124270,Explorer,7250,10910.0,158.0,69.14728682
2021-12-03,2021-12-01,124300,Oyster Perpetual,6400,13991.5,484.0,137.1440678
2021-12-03,2021-12-01,126610LN,Submariner Date,10250,17035.5,190.0,86.18032787
2021-12-03,2021-12-01,126710BLRO,GMT-Master II,10900,25237.5,214.0,165.6578947
2021-12-03,2021-12-01,124060,Submariner,9100,15103.0,152.0,86.45679012
2021-12-03,2021-12-01,126610LV,Submariner Date,10800,21705.0,180.0,127.2774869
2021-12-03,2021-12-01,126710BLNR,GMT-Master II,10900,21631.0,264.0,127.6947368
2021-12-03,2021-12-01,226570,Explorer II,9650,14280.5,168.0,67.02339181
2021-12-10,2021-12-01,124270,Explorer,7250,10883.0,152.0,68.72868217
2021-12-10,2021-12-01,124300,Oyster Perpetual,6400,13950.5,482.0,136.4491525
2021-12-10,2021-12-01,126610LN,Submariner Date,10250,17096.0,194.0,86.84153005
2021-12-10,2021-12-01,126710BLRO,GMT-Master II,10900,25513.0,216.0,168.5578947
2021-12-10,2021-12-01,124060,Submariner,9100,15119.0,149.0,86.65432099
2021-12-10,2021-12-01,126610LV,Submariner Date,10800,21877.0,178.0,129.078534
2021-12-10,2021-12-01,126710BLNR,GMT-Master II,10900,21628.0,274.0,127.6631579
2021-12-10,2021-12-01,226570,Explorer II,9650,14242.0,154.0,66.57309942
2021-12-17,2021-12-01,124270,Explorer,7250,10849.5,166.0,68.20930233
2021-12-17,2021-12-01,124300,Oyster Perpetual,6400,13362.0,416.0,126.4745763
2021-12-17,2021-12-01,126610LN,Submariner Date,10250,17197.0,202.0,87.94535519
2021-12-17,2021-12-01,126710BLRO,GMT-Master II,10900,26000.0,215.0,173.6842105
2021-12-17,2021-12-01,124060,Submariner,9100,15271.0,146.0,88.5308642
2021-12-17,2021-12-01,126610LV,Submariner Date,10800,21946.0,170.0,129.8010471
2021-12-17,2021-12-01,126710BLNR,GMT-Master II,10900,21961.0,277.0,131.1684211
2021-12-17,2021-12-01,226570,Explorer II,9650,14319.0,164.0,67.47368421
2021-12-24,2021-12-01,124270,Explorer,7250,10899.0,167.0,68.97674419
2021-12-24,2021-12-01,124300,Oyster Perpetual,6400,13332.0,344.0,125.9661017
2021-12-24,2021-12-01,126610LN,Submariner Date,10250,17203.0,199.0,88.01092896
2021-12-24,2021-12-01,126710BLRO,GMT-Master II,10900,26144.0,213.0,175.2
2021-12-24,2021-12-01,124060,Submariner,9100,15412.5,148.0,90.27777778
2021-12-24,2021-12-01,126610LV,Submariner Date,10800,22019.0,170.0,130.565445
2021-12-24,2021-12-01,126710BLNR,GMT-Master II,10900,22015.0,269.0,131.7368421
2021-12-24,2021-12-01,226570,Explorer II,9650,14452.0,163.0,69.02923977
2021-12-31,2021-12-01,124270,Explorer,7250,10975.0,155.0,70.15503876
2021-12-31,2021-12-01,124300,Oyster Perpetual,6400,13992.0,282.0,137.1525424
2021-12-31,2021-12-01,126610LN,Submariner Date,10250,17302.0,187.0,89.09289617
2021-12-31,2021-12-01,126710BLRO,GMT-Master II,10900,26550.0,193.0,179.4736842
2021-12-31,2021-12-01,124060,Submariner,9100,15500.0,130.0,91.35802469
2021-12-31,2021-12-01,126610LV,Submariner Date,10800,22596.0,155.0,136.6073298
2021-12-31,2021-12-01,126710BLNR,GMT-Master II,10900,22358.0,252.0,135.3473684
2021-12-31,2021-12-01,226570,Explorer II,9650,14678.5,148.0,71.67836257
2022-01-07,2022-01-01,124270,Explorer,7250,11049.0,150.0,53.45833333
2022-01-07,2022-01-01,124300,Oyster Perpetual,6400,15462.0,278.0,151.4146341
2022-01-07,2022-01-01,126610LN,Submariner Date,10250,17716.5,170.0,75.41089109
2022-01-07,2022-01-01,126710BLRO,GMT-Master II,10900,27759.0,179.0,158.2232558
2022-01-07,2022-01-01,124060,Submariner,9100,15657.0,119.0,74.93854749
2022-01-07,2022-01-01,126610LV,Submariner Date,10800,23187.0,146.0,118.745283
2022-01-07,2022-01-01,126710BLNR,GMT-Master II,10900,22975.0,229.0,113.7209302
2022-01-07,2022-01-01,226570,Explorer II,9650,14795.0,151.0,55.73684211
2022-01-14,2022-01-01,124270,Explorer,7250,11185.5,148.0,55.35416667
2022-01-14,2022-01-01,124300,Oyster Perpetual,6400,21712.0,303.0,253.0406504
2022-01-14,2022-01-01,126610LN,Submariner Date,10250,18411.5,170.0,82.29207921
2022-01-14,2022-01-01,126710BLRO,GMT-Master II,10900,29513.5,154.0,174.544186
2022-01-14,2022-01-01,124060,Submariner,9100,16632.5,114.0,85.83798883
2022-01-14,2022-01-01,126610LV,Submariner Date,10800,25256.0,136.0,138.2641509
2022-01-14,2022-01-01,126710BLNR,GMT-Master II,10900,24975.0,205.0,132.3255814
2022-01-14,2022-01-01,226570,Explorer II,9650,15132.0,150.0,59.28421053
2022-01-21,2022-01-01,124270,Explorer,7250,11153.5,140.0,54.90972222
2022-01-21,2022-01-01,124300,Oyster Perpetual,6400,22313.0,316.0,262.8130081
2022-01-21,2022-01-01,126610LN,Submariner Date,10250,18885.0,165.0,86.98019802
2022-01-21,2022-01-01,126710BLRO,GMT-Master II,10900,30873.5,140.0,187.1953488
2022-01-21,2022-01-01,124060,Submariner,9100,16964.0,109.0,89.54189944
2022-01-21,2022-01-01,126610LV,Submariner Date,10800,25950.0,117.0,144.8113208
2022-01-21,2022-01-01,126710BLNR,GMT-Master II,10900,25950.0,186.0,141.3953488
2022-01-21,2022-01-01,226570,Explorer II,9650,15229.0,136.0,60.30526316
2022-01-28,2022-01-01,124270,Explorer,7250,11123.0,126.0,54.48611111
