reference,family,observation_count,latest_date,latest_median_price_usd,latest_markup_pct,latest_listing_count,price_change_12w_pct,markup_change_12w_pct,avg_listing_count_12w,msrp_usd
116500LN,Daytona,137,2024-09-13,31951.5,115.89,394.0,0.48,1.02,357.5,14800
124060,Submariner,149,2024-09-13,13549.5,48.9,286.0,1.3,1.92,279.25,9100
124270,Explorer,163,2024-09-13,9315.0,28.48,119.0,1.27,1.61,114.58,7250
124300,Oyster Perpetual,163,2024-09-13,10400.0,62.5,569.0,-2.15,-3.56,493.92,6400
126610LN,Submariner Date,163,2024-09-13,15299.5,49.26,444.0,2.29,3.34,389.33,10250
126610LV,Submariner Date,149,2024-09-13,16943.0,56.88,424.0,0.56,0.87,398.67,10800
126622,Yacht-Master,89,2024-09-13,15775.0,28.25,118.0,-1.1,-1.42,246.5,12300
126710BLNR,GMT-Master II,149,2024-09-13,18900.0,73.39,556.0,2.01,3.41,528.17,10900
126710BLRO,GMT-Master II,163,2024-09-13,23700.0,117.43,415.0,1.07,2.29,389.5,10900
126711CHNR,GMT-Master II,119,2024-09-13,21640.0,33.99,262.0,0.67,0.9,244.0,16150
126720VTNR,GMT-Master II,89,2024-09-13,19960.5,74.33,480.0,2.86,4.85,398.58,11450
226570,Explorer II,149,2024-09-13,12872.0,33.39,311.0,1.75,2.3,280.75,9650
