snapshot_month,reference,family,msrp_usd,avg_median_price_usd,avg_listing_count,avg_markup_pct,ad_count_us,ad_count_mom_change,avg_price_mom_change_pct
2021-07-01,124270,Explorer,7250,11384.75,89.5,76.51,335,,
2021-07-01,124300,Oyster Perpetual,6400,12756.5,411.0,116.21,335,,
2021-07-01,126610LN,Submariner Date,10250,16344.0,220.5,78.62,335,,
2021-07-01,126710BLRO,GMT-Master II,10900,23840.75,231.5,150.96,335,,
2021-08-01,124270,Explorer,7250,11112.25,104.75,72.28,336,1,-2.39
2021-08-01,124300,Oyster Perpetual,6400,13139.88,417.0,122.71,336,1,3.01
2021-08-01,126610LN,Submariner Date,10250,16277.0,194.25,77.89,336,1,-0.41
2021-08-01,126710BLRO,GMT-Master II,10900,24018.5,231.5,152.83,336,1,0.75
2021-09-01,124270,Explorer,7250,10995.33,122.67,70.47,336,0,-1.05
2021-09-01,124300,Oyster Perpetual,6400,13548.5,428.67,129.64,336,0,3.11
2021-09-01,126610LN,Submariner Date,10250,16515.67,181.0,80.5,336,0,1.47
2021-09-01,126710BLRO,GMT-Master II,10900,24334.0,239.0,156.15,336,0,1.31
2021-10-01,124270,Explorer,7250,10850.62,135.5,68.23,335,-1,-1.32
2021-10-01,124300,Oyster Perpetual,6400,13806.25,464.0,134.0,335,-1,1.9
2021-10-01,126610LN,Submariner Date,10250,16582.38,182.0,81.23,335,-1,0.4
2021-10-01,126710BLRO,GMT-Master II,10900,24600.25,238.5,158.95,335,-1,1.09
2021-11-01,124060,Submariner,9100,14960.83,163.0,84.7,335,0,
2021-11-01,124270,Explorer,7250,10876.0,155.75,68.62,335,0,0.23
2021-11-01,124300,Oyster Perpetual,6400,13841.0,499.0,134.59,335,0,0.25
2021-11-01,126610LN,Submariner Date,10250,16847.5,191.5,84.13,335,0,1.6
2021-11-01,126610LV,Submariner Date,10800,21498.0,189.67,125.11,335,0,
2021-11-01,126710BLNR,GMT-Master II,10900,21313.0,277.33,124.35,335,0,
2021-11-01,126710BLRO,GMT-Master II,10900,24991.12,230.25,163.06,335,0,1.59
2021-11-01,226570,Explorer II,9650,14035.67,170.67,64.16,335,0,
2021-12-01,124060,Submariner,9100,15281.1,145.0,88.66,334,-1,2.14
2021-12-01,124270,Explorer,7250,10903.3,159.6,69.04,334,-1,0.25
2021-12-01,124300,Oyster Perpetual,6400,13725.6,401.6,132.64,334,-1,-0.83
2021-12-01,126610LN,Submariner Date,10250,17166.7,194.4,87.61,334,-1,1.89
2021-12-01,126610LV,Submariner Date,10800,22028.6,170.6,130.67,334,-1,2.47
2021-12-01,126710BLNR,GMT-Master II,10900,21918.6,267.2,130.72,334,-1,2.84
2021-12-01,126710BLRO,GMT-Master II,10900,25888.9,210.2,172.51,334,-1,3.59
2021-12-01,226570,Explorer II,9650,14394.4,159.4,68.36,334,-1,2.56
2022-01-01,124060,Submariner,9100,16601.62,114.25,85.49,319,-15,8.64
2022-01-01,124270,Explorer,7250,11127.75,141.0,54.55,319,-15,2.06
2022-01-01,124300,Oyster Perpetual,6400,20476.75,308.5,232.96,319,-15,49.19
2022-01-01,126610LN,Submariner Date,10250,18503.25,171.0,83.2,319,-15,7.79
2022-01-01,126610LV,Submariner Date,10800,25275.75,130.5,138.45,319,-15,14.74
2022-01-01,126710BLNR,GMT-Master II,10900,25118.5,205.25,133.66,319,-15,14.6
