reference,family,overlap_months,same_month_ad_count_vs_markup_corr,ad_count_change_vs_next_month_price_change_corr
116500LN,Daytona,21,0.811,-0.2328
124060,Submariner,24,0.8203,-0.4047
124270,Explorer,28,0.9483,-0.4269
124300,Oyster Perpetual,28,0.4846,-0.1135
126610LN,Submariner Date,28,0.7574,-0.4368
126610LV,Submariner Date,24,0.7906,-0.4206
126622,Yacht-Master,10,0.4895,-0.1415
126710BLNR,GMT-Master II,24,0.7753,-0.4535
126710BLRO,GMT-Master II,28,0.6278,-0.4439
126711CHNR,GMT-Master II,17,0.8918,-0.0652
126720VTNR,GMT-Master II,10,0.7565,-0.2807
226570,Explorer II,24,0.8764,-0.4093
